id	emo-label	emo-level	tag
alew001besl01_01.TEI.2.text.body.div.div.sp.1737.s.4	Woede	Lichaamsdeel	hart
alew001besl01_01.TEI.2.text.body.div.div.sp.1765.s.1	Berusting	Emotie	paciensy
alew001besl01_01.TEI.2.text.body.div.div.sp.1765.s.2	Blijdschap	Emotie	vermaek
alew001besl01_01.TEI.2.text.body.div.div.sp.1765.s.4	Blijdschap	EmotioneleHandeling	in myn vuist heur uit gaen lachen
alew001besl01_01.TEI.2.text.body.div.div.sp.1799.s.2	Verdriet	Lichaamswerking	tot aan myn ooren in 't verdriet
alew001besl01_01.TEI.2.text.body.div.div.sp.1799.s.2	Verdriet	Emotie	verdriet
alew001besl01_01.TEI.2.text.body.div.div.sp.1799.s.2	Verdriet	Lichaamsdeel	ooren
alew001besl01_01.TEI.2.text.body.div.div.sp.1825.s.3	Liefde	Emotie	houwen
alew001besl01_01.TEI.2.text.body.div.div.sp.1825.s.4	Verdriet	Emotie	verdriet
alew001besl01_01.TEI.2.text.body.div.div.sp.1831.s.1	Verdriet	Emotie	droefheid
alew001besl01_01.TEI.2.text.body.div.div.sp.1831.s.1	Mededogen	Emotie	medely
alew001besl01_01.TEI.2.text.body.div.div.sp.1841.s.1	Mededogen	Emotie	medely
alew001besl01_01.TEI.2.text.body.div.div.sp.1841.s.2	Verdriet	Emotie	verdriet
alew001besl01_01.TEI.2.text.body.div.div.sp.1841.s.3	Bedruktheid	Emotie	bezwaeren
alew001besl01_01.TEI.2.text.body.div.div.sp.1855.s.1	Angst	Emotie	vrees
alew001besl01_01.TEI.2.text.body.div.div.sp.1869.s.5	Bezorgdheid	Lichaamsdeel	hoofd
alew001besl01_01.TEI.2.text.body.div.div.sp.1869.s.5	Angst	Lichaamsdeel	hoofd
alew001besl01_01.TEI.2.text.body.div.div.sp.1874.s.1	Angst	Emotie	angst
alew001besl01_01.TEI.2.text.body.div.div.sp.1874.s.1	Angst	Emotie	vreezen
alew001besl01_01.TEI.2.text.body.div.div.sp.1910.s.1	Angst	Emotie	bekommerd
alew001besl01_01.TEI.2.text.body.div.div.sp.1910.s.1	Bezorgdheid	Emotie	bekommerd
alew001besl01_01.TEI.2.text.body.div.div.sp.1910.s.12	Verdriet	Emotie	leed
alew001besl01_01.TEI.2.text.body.div.div.sp.1910.s.14	Angst	Emotie	vreezen
alew001besl01_01.TEI.2.text.body.div.div.sp.1947.s.2	Welwillendheid	Emotie	gunst
alew001besl01_01.TEI.2.text.body.div.div.sp.1953.s.2	Woede	Emotie	kwaad
alew001besl01_01.TEI.2.text.body.div.div.sp.1960.s.1	Woede	EmotioneleHandeling	kyven
alew001besl01_01.TEI.2.text.body.div.div.sp.1968.s.1	Liefde	Emotie	liefde
alew001besl01_01.TEI.2.text.body.div.div.sp.1968.s.1	Blijdschap	Emotie	opgetoogen
alew001besl01_01.TEI.2.text.body.div.div.sp.1968.s.2	Liefde	Lichaamswerking	liefdens driften
alew001besl01_01.TEI.2.text.body.div.div.sp.1984.s.2	Verdriet	Emotie	verdriet
alew001besl01_01.TEI.2.text.body.div.div.sp.1984.s.3	Mededogen	Emotie	troost
alew001besl01_01.TEI.2.text.body.div.div.sp.2010.s.2	Liefde	Lichaamswerking	de kop maer dol
alew001besl01_01.TEI.2.text.body.div.div.sp.2031.s.1	Woede	EmotioneleHandeling	kyven
alew001besl01_01.TEI.2.text.body.div.div.sp.2480.s.2	Walging	Emotie	grouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.2480.s.2	Walging	Lichaamswerking	haar dat moet te bergen ryzen
alew001besl01_01.TEI.2.text.body.div.div.sp.3372.s.2	Verdriet	Lichaamswerking	gepruilt
alew001besl01_01.TEI.2.text.body.div.div.sp.614.s.1	Woede	Lichaamswerking	maek my de kop niet warm
alew001besl01_01.TEI.2.text.body.div.div.sp.614.s.1	Woede	Lichaamsdeel	kop
alew001besl01_01.TEI.2.text.body.div.div.sp.628.s.1	Verdriet	Emotie	leed
alew001besl01_01.TEI.2.text.body.div.div.sp.628.s.2	Wroeging	Emotie	rouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.733.s.3	Verdriet	Lichaamswerking	huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Emotie	leed
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamswerking	't gemoet is my zo vol
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamsdeel	gemoet
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamsdeel	traanen
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamsdeel	traenen
alew001besl01_01.TEI.2.text.body.div.div.sp.775.s.1	Verdriet	Lichaamswerking	balken
alew001besl01_01.TEI.2.text.body.div.div.sp.775.s.1	Verdriet	Lichaamswerking	huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.829.s.1	Verdriet	Emotie	droefheid
alew001besl01_01.TEI.2.text.body.div.div.sp.829.s.1	Verdriet	Lichaamswerking	droefheid
alew001besl01_01.TEI.2.text.body.div.div.sp.829.s.1	Opluchting	Lichaamswerking	verlichten
alew001besl01_01.TEI.2.text.body.div.div.sp.855.s.6	Verdriet	Lichaamswerking	huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.870.s.2	Verdriet	Lichaamswerking	janken
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.2761.s.1	Woede	Lichaamswerking	kyvenderwyze
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.2859.s.1	Woede	Emotie	toornig
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.2998.s.1	Woede	Emotie	toornig
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.2998.s.1	Woede	EmotioneleHandeling	zich van zyn stoel toornig oprechtende
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.3026.s.1	Woede	Emotie	toornig
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.3202.s.1	Wrevel	Lichaamswerking	knorrende
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.738.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.874.s.1	Verdriet	Lichaamswerking	hikkende snikkende
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.914.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.925.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.1924.s.1	Woede	EmotioneleHandeling	met de handen in de zy
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.1983.s.1	Bedruktheid	Lichaamswerking	zuchtende
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.2331.s.1	Schaamte	Lichaamswerking	slaat zyn oogen na de grond
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.2331.s.1	Schaamte	Lichaamsdeel	oogen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.2537.s.1	Wrevel	Lichaamswerking	grimlacht
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.2537.s.1	Verdriet	Lichaamswerking	huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.2604.s.2	Woede	EmotioneleHandeling	drygt hem met de vuist
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.2796.s.1	Woede	EmotioneleHandeling	schreeuwt luidkeels op
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.2879.s.2	Blijdschap	Lichaamswerking	gelag
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.3241.s.1	Blijdschap	EmotioneleHandeling	gejuig van vreugde
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.3241.s.1	Blijdschap	Emotie	vreugde
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.726.s.1	Verdriet	Lichaamswerking	huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.726.s.1	Verdriet	Lichaamsdeel	traanen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.745.s.1	Verdriet	Lichaamswerking	snot en kwyl te huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.745.s.1	Verdriet	Lichaamsdeel	kwyl
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.745.s.1	Verdriet	Lichaamsdeel	snot
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.755.s.1	Verdriet	Lichaamswerking	huilt
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.764.s.1	Welwillendheid	Emotie	zoetjes
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.844.s.1	Verdriet	Lichaamswerking	hikkende
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.844.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.844.s.1	Verdriet	Lichaamswerking	snikkende
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.854.s.1	Verdriet	Lichaamswerking	balken
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.854.s.1	Verdriet	Lichaamswerking	begint hart op te balken
alew001besl01_01.TEI.2.text.body.div.div.stage.1327.s.2	Welwillendheid	Lichaamsdeel	schouder
alew001puit01_01.TEI.2.text.body.div.div.sp.1047.s.2	Verdriet	Emotie	verdriet
alew001puit01_01.TEI.2.text.body.div.div.sp.1100.s.1	Angst	Emotie	vrees
alew001puit01_01.TEI.2.text.body.div.div.sp.1143.s.4	Angst	EmotioneleHandeling	stoof
alew001puit01_01.TEI.2.text.body.div.div.sp.1149.s.1	Verdriet	Lichaamswerking	huil
alew001puit01_01.TEI.2.text.body.div.div.sp.1183.s.1	Angst	Emotie	bang
alew001puit01_01.TEI.2.text.body.div.div.sp.1739.s.1	Verdriet	Lichaamswerking	barst
alew001puit01_01.TEI.2.text.body.div.div.sp.1739.s.1	Verdriet	Emotie	verdriet
alew001puit01_01.TEI.2.text.body.div.div.sp.1739.s.1	Verdriet	Lichaamsdeel	hert
alew001puit01_01.TEI.2.text.body.div.div.sp.1739.s.3	Angst	Emotie	vreezen
alew001puit01_01.TEI.2.text.body.div.div.sp.1760.s.1	Toewijding	Lichaamswerking	lachen
alew001puit01_01.TEI.2.text.body.div.div.sp.1760.s.1	Blijdschap	Lichaamswerking	lachen
alew001puit01_01.TEI.2.text.body.div.div.sp.1852.s.2	Angst	Emotie	vreest
alew001puit01_01.TEI.2.text.body.div.div.sp.1930.s.1	Wanhoop	Emotie	t'einde raad
alew001puit01_01.TEI.2.text.body.div.div.sp.1930.s.2	Liefde	Lichaamsdeel	oogen
alew001puit01_01.TEI.2.text.body.div.div.sp.1930.s.2	Liefde	Emotie	liefde
alew001puit01_01.TEI.2.text.body.div.div.sp.1930.s.2	Liefde	Lichaamswerking	sloot
alew001puit01_01.TEI.2.text.body.div.div.sp.2036.s.1	Woede	Emotie	raazende
alew001puit01_01.TEI.2.text.body.div.div.sp.2036.s.2	Woede	EmotioneleHandeling	slaan
alew001puit01_01.TEI.2.text.body.div.div.sp.2036.s.2	Woede	Lichaamsdeel	vuisten
alew001puit01_01.TEI.2.text.body.div.div.sp.2036.s.4	Wroeging	EmotioneleHandeling	zuip
alew001puit01_01.TEI.2.text.body.div.div.sp.2036.s.4	Wroeging	Emotie	spyt
alew001puit01_01.TEI.2.text.body.div.div.sp.2036.s.4	Wroeging	Lichaamsdeel	bloed
alew001puit01_01.TEI.2.text.body.div.div.sp.2077.s.1	Angst	Emotie	bevreest
alew001puit01_01.TEI.2.text.body.div.div.sp.2159.s.1	Woede	EmotioneleHandeling	slaat
alew001puit01_01.TEI.2.text.body.div.div.sp.2180.s.1	Woede	EmotioneleHandeling	stuk slaan
alew001puit01_01.TEI.2.text.body.div.div.sp.2180.s.1	Woede	Lichaamsdeel	arm been
alew001puit01_01.TEI.2.text.body.div.div.sp.238.s.9	Verdriet	Lichaamswerking	huilen
alew001puit01_01.TEI.2.text.body.div.div.sp.238.s.9	Overig	Lichaamswerking	huilen
alew001puit01_01.TEI.2.text.body.div.div.sp.2384.s.1	Wanhoop	EmotioneleHandeling	nagel byten
alew001puit01_01.TEI.2.text.body.div.div.sp.2384.s.1	Woede	EmotioneleHandeling	nagel byten
alew001puit01_01.TEI.2.text.body.div.div.sp.2384.s.1	Wanhoop	EmotioneleHandeling	krabben
alew001puit01_01.TEI.2.text.body.div.div.sp.2384.s.1	Woede	EmotioneleHandeling	krabben
alew001puit01_01.TEI.2.text.body.div.div.sp.2384.s.1	Wanhoop	EmotioneleHandeling	smyten
alew001puit01_01.TEI.2.text.body.div.div.sp.2384.s.1	Woede	EmotioneleHandeling	smyten
alew001puit01_01.TEI.2.text.body.div.div.sp.2384.s.1	Wanhoop	Lichaamsdeel	kop
alew001puit01_01.TEI.2.text.body.div.div.sp.2384.s.1	Woede	Lichaamsdeel	kop
alew001puit01_01.TEI.2.text.body.div.div.sp.2570.s.2	Schaamte	Lichaamsdeel	oogen
alew001puit01_01.TEI.2.text.body.div.div.sp.2570.s.2	Schaamte	EmotioneleHandeling	opslaan
alew001puit01_01.TEI.2.text.body.div.div.sp.2604.s.2	Schaamte	Emotie	beschaamt
alew001puit01_01.TEI.2.text.body.div.div.sp.2714.s.2	Angst	Emotie	vrees
alew001puit01_01.TEI.2.text.body.div.div.sp.2807.s.2	Verdriet	Lichaamswerking	kniezen
alew001puit01_01.TEI.2.text.body.div.div.sp.288.s.3	Walging	Emotie	walg
alew001puit01_01.TEI.2.text.body.div.div.sp.312.s.5	Overig	Lichaamswerking	huilt
alew001puit01_01.TEI.2.text.body.div.div.sp.3146.s.2	Wanhoop	Lichaamswerking	zakt
alew001puit01_01.TEI.2.text.body.div.div.sp.3146.s.2	Wanhoop	Lichaamsdeel	hart
alew001puit01_01.TEI.2.text.body.div.div.sp.3211.s.3	Bedruktheid	Lichaamsdeel	hert
alew001puit01_01.TEI.2.text.body.div.div.sp.3211.s.3	Bedruktheid	Lichaamswerking	leit
alew001puit01_01.TEI.2.text.body.div.div.sp.327.s.1	Walging	Lichaamsdeel	leever
alew001puit01_01.TEI.2.text.body.div.div.sp.327.s.1	Walging	Lichaamsdeel	long
alew001puit01_01.TEI.2.text.body.div.div.sp.3584.s.1	Wanhoop	Emotie	desperaat
alew001puit01_01.TEI.2.text.body.div.div.sp.3663.s.1	Welwillendheid	Emotie	gun
alew001puit01_01.TEI.2.text.body.div.div.sp.3663.s.1	Welwillendheid	Lichaamsdeel	hart
alew001puit01_01.TEI.2.text.body.div.div.sp.411.s.2	Verdriet	Lichaamsdeel	hart
alew001puit01_01.TEI.2.text.body.div.div.sp.466.s.1	Overig	Lichaamswerking	lach
alew001puit01_01.TEI.2.text.body.div.div.sp.713.s.2	Angst	Lichaamswerking	piepen
alew001puit01_01.TEI.2.text.body.div.div.sp.713.s.2	Angst	Emotie	schrik
alew001puit01_01.TEI.2.text.body.div.div.sp.838.s.3	Blijdschap	Lichaamswerking	greynsen
alew001puit01_01.TEI.2.text.body.div.div.sp.838.s.3	Trots	Lichaamswerking	greynsen
alew001puit01_01.TEI.2.text.body.div.div.sp.882.s.1	Angst	Emotie	bang
alew001puit01_01.TEI.2.text.body.div.div.sp.975.s.1	Wroeging	Lichaamswerking	bloed kookt
alew001puit01_01.TEI.2.text.body.div.div.sp.975.s.1	Wroeging	Emotie	spyt
alew001puit01_01.TEI.2.text.body.div.div.sp.975.s.1	Wroeging	Lichaamsdeel	bloed
alew001puit01_01.TEI.2.text.body.div.div.sp.975.s.1	Wroeging	Lichaamsdeel	lyf
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.2184.s.1	Verdriet	Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.2215.s.1	Liefde	EmotioneleHandeling	omarmende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.275.s.1	Wanhoop	Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.275.s.1	Overig	Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.377.s.1	Verdriet	Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.3786.s.1	Liefde	Lichaamsdeel	kniên
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.3786.s.1	Wanhoop	EmotioneleHandeling	vallende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.3786.s.1	Liefde	EmotioneleHandeling	vallende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.3786.s.1	Wanhoop	Lichaamsdeel	kniên
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.541.s.1	Liefde	EmotioneleHandeling	kussende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.654.s.1	Verdriet	Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.654.s.1	Wanhoop	Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.1142.s.1	Verdriet	Lichaamswerking	huilen
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.2035.s.1	Woede	EmotioneleHandeling	scheurt
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.2035.s.1	Woede	EmotioneleHandeling	smytze
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.2035.s.1	Woede	EmotioneleHandeling	trekt
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.2035.s.1	Woede	Lichaamsdeel	d'ooren
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.2150.s.1	Angst	EmotioneleHandeling	vlucht
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.311.s.1	Overig	Lichaamswerking	schreijen
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Angst	Lichaamsdeel	kniên
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Wanhoop	EmotioneleHandeling	vasthoudende
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Angst	EmotioneleHandeling	vasthoudende
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Wanhoop	EmotioneleHandeling	grimassen
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Angst	EmotioneleHandeling	grimassen
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Wanhoop	Lichaamswerking	bevende
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Angst	Lichaamswerking	bevende
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Wanhoop	EmotioneleHandeling	valt
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Angst	EmotioneleHandeling	valt
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3284.s.1	Wanhoop	Lichaamsdeel	kniên
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3490.s.1	Wanhoop	EmotioneleHandeling	schud
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3490.s.1	Verdriet	EmotioneleHandeling	schud
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3490.s.1	Verdriet	Lichaamsdeel	hoofd
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3490.s.1	Wanhoop	Lichaamsdeel	hoofd
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3490.s.2	Berusting	Lichaamsdeel	schouderen
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.3490.s.2	Berusting	EmotioneleHandeling	haalt op
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.559.s.1	Liefde	EmotioneleHandeling	omhelst
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.559.s.1	Liefde	EmotioneleHandeling	kust
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.571.s.1	Liefde	EmotioneleHandeling	omhelzen
alew001puit01_01.TEI.2.text.body.div.div.stage.1992.s.1	Woede	EmotioneleHandeling	schud
alew001puit01_01.TEI.2.text.body.div.div.stage.1992.s.1	Woede	EmotioneleHandeling	stampvoet
alew001puit01_01.TEI.2.text.body.div.div.stage.1992.s.1	Woede	Lichaamswerking	grimassen
alew001puit01_01.TEI.2.text.body.div.div.stage.1992.s.1	Woede	Lichaamsdeel	hoofd
bidl001nede01_01.TEI.2.text.body.div.div.sp.1016.s.2	Wrevel	EmotioneleHandeling	kyven
bidl001nede01_01.TEI.2.text.body.div.div.sp.1114.s.1	Walging	Emotie	verachten
bidl001nede01_01.TEI.2.text.body.div.div.sp.1114.s.1	Walging	Emotie	verdoemen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1129.s.2	Woede	Lichaamsdeel	handen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1129.s.2	Haat	Lichaamsdeel	handen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1129.s.2	Haat	Emotie	gehaate
bidl001nede01_01.TEI.2.text.body.div.div.sp.1141.s.3	Schaamte	Emotie	schroom
bidl001nede01_01.TEI.2.text.body.div.div.sp.1141.s.3	Angst	Emotie	vreez
bidl001nede01_01.TEI.2.text.body.div.div.sp.1141.s.4	Overig	EmotioneleHandeling	streelen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1149.s.1	Wrevel	EmotioneleHandeling	bestrijd
bidl001nede01_01.TEI.2.text.body.div.div.sp.1155.s.1	Blijdschap	Emotie	vrolykheden
bidl001nede01_01.TEI.2.text.body.div.div.sp.1161.s.1	Liefde	Emotie	liefde
bidl001nede01_01.TEI.2.text.body.div.div.sp.1186.s.2	Trots	Emotie	trotsheid
bidl001nede01_01.TEI.2.text.body.div.div.sp.1186.s.3	Overig	EmotioneleHandeling	roepen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1186.s.3	Overig	EmotioneleHandeling	baaren
bidl001nede01_01.TEI.2.text.body.div.div.sp.1186.s.3	Overig	EmotioneleHandeling	schreeuwen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1202.s.3	Haat	Emotie	haat
bidl001nede01_01.TEI.2.text.body.div.div.sp.1214.s.7	Woede	EmotioneleHandeling	slaan
bidl001nede01_01.TEI.2.text.body.div.div.sp.1336.s.1	Blijdschap	Emotie	zinge
bidl001nede01_01.TEI.2.text.body.div.div.sp.1363.s.1	Angst	Emotie	doodschrik
bidl001nede01_01.TEI.2.text.body.div.div.sp.1363.s.2	Verlangen	Emotie	lust
bidl001nede01_01.TEI.2.text.body.div.div.sp.1363.s.2	Wrevel	Emotie	naarstigheid
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.1	Liefde	Lichaamsdeel	hart
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.1	Trots	Lichaamsdeel	hart
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.1	Haat	Emotie	haat
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.1	Liefde	Emotie	liefde
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.1	Liefde	Lichaamswerking	liefde in t ' hart stond opgeblaazen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.1	Trots	Emotie	liefde
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.1	Trots	Lichaamswerking	liefde in t ' hart stond opgeblaazen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.1	Trots	Emotie	hovaardy
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.2	Haat	EmotioneleHandeling	verfoeijen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.2	Haat	EmotioneleHandeling	schreeuwen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.2	Haat	EmotioneleHandeling	achterklappen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.4	Verlangen	Emotie	erlangen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.5	Overig	EmotioneleHandeling	smoord
bidl001nede01_01.TEI.2.text.body.div.div.sp.1386.s.5	Blijdschap	Emotie	vreugd
bidl001nede01_01.TEI.2.text.body.div.div.sp.1407.s.1	Haat	Emotie	haat
bidl001nede01_01.TEI.2.text.body.div.div.sp.1422.s.1	Angst	Lichaamsdeel	hart
bidl001nede01_01.TEI.2.text.body.div.div.sp.1422.s.1	Angst	Lichaamswerking	ontviel haar 't hart
bidl001nede01_01.TEI.2.text.body.div.div.sp.1550.s.1	Angst	Emotie	vreezen
bidl001nede01_01.TEI.2.text.body.div.div.sp.1763.s.7	Verdriet	Lichaamsdeel	hart
bidl001nede01_01.TEI.2.text.body.div.div.sp.1763.s.7	Verdriet	Lichaamswerking	dat u 't hart , lang steenen zal van wee en smart
bidl001nede01_01.TEI.2.text.body.div.div.sp.1763.s.7	Verdriet	Emotie	wee
bidl001nede01_01.TEI.2.text.body.div.div.sp.1763.s.7	Verdriet	Emotie	smart
